,smiles,per_inh
0,CC(Cc1ccc(NC(=O)CCNCc2ccccc2)cc1)NCCc1cccc(Cl)c1,1.01
1,CN(C)CCCn1c(N)c(-c2nc3ccccc3[nH]2)c2nc(C#N)c(C#N)nc21,1.0
2,COc1ccc(-c2csc(N(CCCN(C)C)C(=O)c3cc4c(C)nn(-c5ccccc5)c4s3)n2)cc1.Cl,1.0
3,CC(C)NCC(O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,1.0
4,CCCCOc1ccc(C(=O)C(CCC(CNC(C)(C)C)C(=O)c2ccc(OCCCC)cc2)CNC(C)(C)C)cc1.Cl,1.0
5,COc1ccc2nc(C)cc(Nc3ccc(Oc4ccc(Br)c5ccccc45)c(Cl)c3)c2c1,1.0
6,Cc1ccn2cc(-c3ccc(NC(=O)c4ccc(Br)o4)cc3)nc2c1,1.0
7,Cl.Clc1cc(Br)ccc1-c1ccc(CNCC2CCNCC2)o1,1.0
8,O=C(Nc1cccc(-c2cccc(-c3ccc(F)cc3)n2)c1)c1ccc([N+](=O)[O-])o1,1.0
9,O=C(Nc1ccc(N2CCN(Cc3ccccc3Cl)CC2)cc1)c1ccc([N+](=O)[O-])o1,1.0
10,COc1ccc2nc3cc(Cl)ccc3c(N)c2c1.Cl,1.0
11,Cn1nc2ccc3ccccc3c2nc1=N.I,1.0
12,COc1ccc(CCNCCCCCCNCCc2ccc(-c3ccccc3)cc2)cc1OC.Cl,1.0
13,COc1ccc(CCNCCCCCCNCCc2ccc(Cl)c3ccccc23)cc1OC.Cl,1.0
14,CC(Cc1ccc(OCCN2CCN(c3cccc(Cl)c3)CC2)cc1)NCC(O)c1cccc(C(F)(F)F)c1.Cl,1.0
15,C[C@H](Cc1ccc(CCc2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1.Cl,1.0
16,C[C@H](Cc1ccc(S(=O)(=O)c2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1.Cl,1.0
17,COc1ccc(CN(C)CCCc2ccc(NC(=O)c3cccc4c(=O)c5cccc(F)c5[nH]c34)cc2)cc1OC,1.0
18,Nc1c2ccccc2nc2ccc(-c3ccccc3)cc12,1.0
19,CCc1c(CCNCCCCCCNCCc2ccc(Br)cc2)ccc(OC)c1OC.Cl,1.0
20,CCc1c(CCNCCCCCCNC(C)Cc2ccc3c(c2CC)OCO3)ccc(OC)c1OC.Cl,1.0
21,CCc1c(CCNCCCCCCNC(C)(C)Cc2ccc3c(c2CC)OCO3)ccc(OC)c1OC.Cl,1.0
22,CCc1c(CCNCCc2cccc(CCNCCc3ccc(OC)c(OC)c3CC)c2)ccc(OC)c1OC.Cl,1.0
23,COc1cccc(CCc2c(CCNCCCCCCNCCc3ccccc3)ccc(OC)c2OC)c1.Cl,1.0
24,Cl.N[C@@H](CCNC1CCN(c2cccc(C(F)(F)F)c2)CC1)Cc1ccc(F)c(F)c1,1.0
25,Cc1cccc2nc(-c3ccc(-c4ccc(NC(=O)Nc5ccc(Cl)c(Cl)c5)cc4)s3)[nH]c12,1.0
26,CN1CCN(c2nsc3ccc(-c4ccc(NC(=O)Nc5cc(C(F)(F)F)ccc5F)cc4)cc23)CC1.O=C(O)C(F)(F)F,1.0
27,COc1ccccc1C1CCN(C2CCC(NC(=O)c3cc4cc(C(C)C)ccc4[nH]3)CC2)CC1,1.0
28,Cc1ccccc1C1CCN(C2CCC(NC(=O)c3cc4cc(C(C)C)ccc4[nH]3)CC2)CC1,1.0
29,COc1ccccc1C1CCN(C2CCC(NC(=O)c3ccc4[nH]c(-c5ccc(C)cc5)nc4c3)CC2)CC1,1.0
30,CN1CCC(N2CCN(Cc3cccc(-c4ccc(-c5nc6cc(C(F)(F)F)ccc6[nH]5)cc4)c3)CC2)CC1.O=C(O)C(F)(F)F,1.0
31,CN1CCCC(CN2CCN(Cc3cccc(-c4ccc(-c5nc6cc(C(F)(F)F)ccc6[nH]5)cc4)c3)CC2)C1.O=C(O)C(F)(F)F,1.0
